A,B
28.30976182,0.507962837
28.32511933,0.506911669
28.63835344,0.485471895
29.07542371,0.455555968
29.62395177,0.418011148
30.09793158,0.385568894
30.32732363,0.369867813
30.22446184,0.376908342
29.89081267,0.399745456
29.33326068,0.437907933
28.76844668,0.476567469
28.29139823,0.509219761
27.97580299,0.530821147
27.82222348,0.541333126
27.90095145,0.535944472
28.24579812,0.512340928
28.75336761,0.477599578
29.12256997,0.452328973
29.25598655,0.443197076
29.24523256,0.443933149
29.1755514,0.44870258
29.19967511,0.447051397
29.33659299,0.437679848
29.40120645,0.433257283
29.45814778,0.429359849
29.44161143,0.430491705
29.40825547,0.432774803
29.40646909,0.432897075
29.43538482,0.430917894
29.3615167,0.435973908
29.22252126,0.445487658
28.9676784,0.462930757
28.54796587,0.491658606
28.09882499,0.522400723
27.8014101,0.542757729
27.71447479,0.548708145
27.64274872,0.553617543
27.66480384,0.552107947
27.48722486,0.564262605
27.17242197,0.585809758
26.7316166,0.615981338
26.34830274,0.642217827
26.0996361,0.659238185
26.06803857,0.661400925
26.20449433,0.652061008
26.42325674,0.637087488
26.53789779,0.629240711
26.62034026,0.623597813
26.62014498,0.62361118
26.5344507,0.629476652
26.50454382,0.631523673
26.52116685,0.630385885
26.50081104,0.631779169
26.54982177,0.628424556
26.69580675,0.618432396
26.78937465,0.612028003
26.79063568,0.61194169
26.83536911,0.608879843
26.83742175,0.608739347
26.7404151,0.615379112
26.59785302,0.625136986
26.16187789,0.654977953
25.73180046,0.684415243
25.06387211,0.730132594
24.34820339,0.779117606
23.81062758,0.815912784
23.47723417,0.838732392
23.36239254,0.846592899
23.41506498,0.842987655
23.38710992,0.844901081
23.23634694,0.855220277
23.06272499,0.867104091
22.85956844,0.881009443
22.69217244,0.892467112
22.55849877,0.901616605
22.45115348,0.908964014
22.38909435,0.913211743
22.38611523,0.913415654
22.40525662,0.912105492
22.43010591,0.910404646
22.471742,0.907554802
22.52145502,0.90415212
22.55900005,0.901582295
22.57474133,0.900504859
22.56054482,0.901476561
22.52885894,0.903645348
22.51468962,0.904615188
22.48988475,0.906312995
22.48030148,0.906968935
22.50440725,0.90531898
22.56313578,0.901299218
22.61078208,0.898037997
22.67291731,0.893785058
22.75266839,0.888326377
22.84047585,0.882316264
22.93919455,0.875559316
23.02004922,0.870025098
23.09053585,0.865200535
23.19676843,0.857929288
23.35080606,0.847385952
23.53486355,0.834787863
23.79265485,0.817142954
24.06080716,0.79878887
24.30687526,0.781946372
24.50872616,0.768130386
24.63919156,0.759200488
24.76321487,0.750711527
24.80992161,0.747514615
24.71901832,0.753736626
24.58664008,0.762797452
24.54286471,0.765793723
24.56696579,0.764144088
24.67733223,0.756589893
24.85673,0.744310745
24.987424,0.735365199
24.99250028,0.735017746
24.91321651,0.740444441
24.80631689,0.747761345
24.69252033,0.75555032
24.62739559,0.76000788
24.59114589,0.762489045
24.55583777,0.764905762
24.48764314,0.769573445
24.35137248,0.778900693
24.18609554,0.790213319
24.09982718,0.796118086
24.06340312,0.798611185
24.03021763,0.800882615
24.00884429,0.802345546
24.0546184,0.799212468
24.14454954,0.793056997
24.19152891,0.789841425
24.2151667,0.788223501
24.13589381,0.793649452
23.98577619,0.803924476
23.83413186,0.814303998
23.72577317,0.82172077
23.66028647,0.826203105
23.60661079,0.829877017
23.5814694,0.831597857
23.55727554,0.833253841
23.5394011,0.834477284
23.53084065,0.835063217
23.52632066,0.835372594
23.513841,0.836226783
23.49992721,0.837179133
23.48209725,0.838399532
23.46336781,0.839681496
23.45326621,0.840372915
23.45699374,0.840117778
23.51837185,0.835916662
23.67651407,0.825092383
23.86527088,0.812172642
24.01957425,0.801611117
24.07436976,0.797860557
24.0911849,0.79670962
24.07333391,0.797931457
23.99612033,0.803216456
23.91437738,0.808811474
23.89184742,0.810353571
23.9308865,0.807681482
23.98715733,0.803829942
24.0332456,0.800675361
24.06137426,0.798750053
24.05300674,0.799322781
23.98578192,0.803924083
23.89059865,0.810439045
23.81751439,0.815441406
23.79010446,0.817317519
23.75082285,0.820006207
23.71868119,0.822206191
23.67697331,0.825060949
23.66612385,0.825803557
23.67530613,0.825175062
23.71918428,0.822171756
23.79558288,0.81694254
23.90288148,0.809598328
24.0304343,0.800867785
24.16540716,0.791629366
24.29299227,0.782896614
24.42458191,0.773889764
24.52648776,0.766914667
24.54120855,0.765907081
24.46076153,0.771413397
24.37214416,0.777478944
24.31161602,0.781621883
24.23284787,0.787013287
24.16572596,0.791607546
24.07503255,0.797815192
23.96191052,0.805557997
23.85213138,0.813071994
23.80825263,0.816075341
23.91640854,0.808672448
24.11515197,0.795069158
24.30083774,0.782359619
24.37949849,0.776975567
24.40951079,0.77492133
24.40898639,0.774957223
24.29822925,0.782538161
24.16093214,0.791935666
24.04655846,0.799764143
23.99631707,0.80320299
24.0047548,0.802625456
24.06508215,0.798496261
24.18987664,0.789954516
24.36406932,0.778031639
24.55992169,0.764626232
24.78469429,0.749241336
25.13615621,0.725185002
25.55106134,0.696786202
26.08011799,0.660574131
26.64515228,0.621899518
27.18229739,0.58513382
27.57427594,0.558304264
27.773932,0.544638508
27.92365252,0.534390663
28.03249034,0.526941097
28.10640239,0.521882076
28.23103009,0.513351748
28.4814839,0.496209064
28.80043633,0.47437789
29.11191333,0.453058382
29.36017384,0.436065822
29.62201684,0.418143587
29.71770031,0.41159439
29.7981679,0.406086666
29.94820601,0.395817084
30.03262998,0.390038559
29.97379996,0.394065268
29.6329406,0.417395895
29.04888101,0.457372724
28.27842574,0.510107682
27.45796067,0.566265636
26.83110702,0.609171568
26.5799503,0.626362364
26.52062669,0.630422857
26.61338746,0.624073708
26.52999845,0.629781393
26.3049549,0.645184834
25.9301454,0.670839229
25.48834963,0.701078598
25.1026067,0.727481348
24.8119516,0.747375669
24.59242497,0.762401496
24.48300341,0.769891018
24.44471126,0.772511981
24.47492721,0.770443806
24.6176952,0.760671838
24.69708366,0.755237976
24.6814768,0.756306211
28.49046703,0.4955942
28.59407236,0.488502779
28.89131617,0.468157483
29.31821727,0.438937602
29.86122588,0.401770568
30.38591887,0.365857175
30.64261076,0.348287516
30.58800917,0.352024803
30.30734574,0.37123523
29.85269872,0.402354222
29.36246331,0.435909116
28.99402438,0.461127467
28.73131554,0.479108965
28.54617139,0.491781432
28.57617601,0.489727721
28.81846002,0.473144231
29.14943257,0.450490322
29.32736414,0.438311531
29.29360929,0.440621932
29.1391741,0.451192478
29.03754806,0.458148424
29.1001801,0.45386148
29.28278576,0.441362764
29.43664764,0.430831458
29.58982705,0.420346866
29.70439665,0.412504979
29.72948136,0.410788018
29.71517538,0.411767212
29.67941221,0.414215076
29.52500622,0.424783624
29.26524827,0.442563144
28.87763596,0.469093846
28.3775738,0.503321345
27.89140567,0.536597848
27.63285145,0.554294976
27.52177409,0.561897832
27.44572574,0.567103074
27.37542566,0.571914868
27.20572921,0.583529994
26.94602747,0.601305667
26.58335484,0.626129335
26.28473052,0.646569122
26.10462777,0.658896523
26.14640941,0.656036716
